Response ID..,"No Trucks, Plus Incentives: drivetrain design 1","No Trucks, Plus Incentives: drivetrain design 2","No Trucks, Plus Incentives: drivetrain design 3","No Trucks, Plus Incentives: drivetrain design 4","No trucks, plus incentives: drivetrain design",Respondent Education,rRespondent Education,Respondent Gender,Respondent Sex,Gender 2,Income 2,rIncome,Veh 1 Total Price,"Veh 1 Total Price, don't know","Fuel economy, gasoline / diesel / ethanol","Fuel economy, gasoline / diesel / ethanol truncated","Fuel economy, gasoline / diesel / ethanol, no idea",Distance,Distance Week/Month,Respondent's vehicle's monthly miles,Respondent's vehicle's monthly miles truncated,Fuel spending,Fuel spending Week/month,Respondent's car fuel spending per month,Respondent's car fuel spending per month (trunc),Daily flexibility,Commute,Home Park own car,Home Park other car,Garage or Carport,Home park: 110,Home Park: 220,Home park: EVSE,Home park: none,Home park: don't know,Highest Home PEV Charging Access,Electricy install authority,Home natural gas,Should government offer incentives,Replacement: Electricity,Replacement: Hydrogen,Seen Public EVSEs,Seen Public EVSEs yes/no,Personal interest in ZEV tech,Consider an EV,rConsiderEV,Consider an FCV,rConsiderFCV,Incentives: Federal,Base body size,Base body size 2,Familiarity: Gasoline Vehicles,Familiarity: EVs,Familiarity: HEVs,Familiarity: PHEVs,Familiarity: FCVs,Familiarity Gasoline Vehicles (trunc),Familiarity EVs (trunc),Familiarity HEVs (trunc),Familiarity PHEVs (trunc),Familiarity FCVs (trunc),Driving exp: EV,Driving exp: HEV,Driving exp: PHEV,Driving exp: FCV,Driving exp: EV (trunc),Driving exp: HEV (trunc),Driving exp: PHEV (trunc),Driving exp: FCV (trunc),EV: home charge,EV: public charging,EV: charge time,EV: range,EV: purchase price,EV: safety,EV: reliability,EV: home charge (trunc),EV: public charging (trunc),EV: charge time (trunc),EV: range (trunc),EV: purchase price (trunc),EV: safety (trunc),EV: reliability (trunc),FCV: public refueling,FCV: fueling time,FCV: range,FCV: purchase price,FCV: safety,FCV: reliability,FCV: public refueling (trunc),FCV: fueling time (trunc),FCV: range (trunc),FCV: purchase price (trunc),FCV: safety (trunc),FCV: reliabilty (trunc),Environmental risk,Environmental Risk (trunc),Health risk,Health Risk (trunc),Urgent national need,Urgent national need (trunc),Market provides incentives,Market incentives (trunc),Air pollution: lifesyle,Air pollution: lifestyle (trunc),Air pollution: personal worry,Air pollution: personal worry (trunc),Air pollution: regional threat,Air pollution: regional threat (trunc),Global warming: certainty,Global warming: certainty (trunc),Climate change: lifestyle,Climate change: lifestyle (trunc),Familiarity Factor1,Familiarity Factor2,Driving Experience Factor1,Driving Experience Factor2,Prior EV Factor1,Prior EV Factor2,Prior EV Factor3,Prior EV Factor4,Prior FCV Factor1,Prior FCV Factor2,Prior FCV Factor3,Enviro Factor1b,Enviro Factor2b,Enviro Factor3b,Pro-ZEV: tech,Pro-ZEV: fun,Pro-ZEV: safer,Pro-ZEV: fuel cost,Pro-ZEV: comfortable,Pro-ZEV: looks,Pro-ZEV: impression,Pro-ZEV: lifestyle,Pro-ZEV: purchase cost,Pro-ZEV: maintenance cost,Pro-ZEV: climate change,Pro-ZEV: oil imports,Pro-ZEV: money to oil producers,Pro-ZEV: air quality,Pro-ZEV: home charge convenience,Pro-ZEV: incentives,w Pro-ZEV: tech,w Pro-ZEV: fun,w Pro-ZEV: safer,w Pro-ZEV: fuel cost,w Pro-ZEV: comfortable,w Pro-ZEV: looks,w Pro-ZEV: impression,w Pro-ZEV: lifestyle,w Pro-ZEV: purchase cost,w Pro-ZEV: maintenance cost,w Pro-ZEV: climate change,w Pro-ZEV: oil imports,w Pro-ZEV: money to oil producers,w Pro-ZEV: air quality,w Pro-ZEV: home charge convenience,w Pro-ZEV: incentives,Non-ZEV: unfamiliar technology,Non-ZEV: electricity supply,Non-ZEV: vehicle safety,Non-ZEV: no home charge or fuel,Non-ZEV: limited fuel network,Non-ZEV: looks,Non-ZEV: impression,Non-ZEV: purchase cost,Non-ZEV: maintenance cost,Non-ZEV: fuel cost,Non-ZEV: lifestyle,Non-ZEV: charge/fuel time,Non-ZEV: range,Non-ZEV: fuel safety,Non-ZEV: enviormental concerns,Non-ZEV: battery concerns,Non-ZEVs: reliability,Non-ZEVs: higher incentives,w Non-ZEV: total,w Non-ZEV: unfamiliar technology,w Non-ZEV: electricity supply,w Non-ZEV: vehicle safety,w Non-ZEV: no home charge or fuel,w Non-ZEV: limited fuel network,w Non-ZEV: looks,w Non-ZEV: impression,w Non-ZEV: purchase cost,w Non-ZEV: maintenance cost,w Non-ZEV: fuel cost,w Non-ZEV: lifestyle,w Non-ZEV: charge/fuel time,w Non-ZEV: range,w Non-ZEV: fuel safety,w Non-ZEV: environmental concerns,w Non-ZEV: battery concerns,w Non-ZEV: reliability,w Non-ZEV: higher incentives
1678,Gas,,,,Gas,High School Graduate or GED,High school or less,Female,Female,Female,"Under $10,000","$0 to 9,999",,1,,,1,50,Week,200,200,30,Month,30,30,"I'm the only driver, so this question doesn't really apply to me",No,Driveway (Not Covered),,No,No,No,No,Yes,No,No,My household would need permission from some other person or group.,"Yes, we do have natural gas","Yes, both electricity and hydrogen",Yes,No,Yes. I've seen them at a few places.,Yes,Interested,"The idea has occurred, but no real steps have been taken to shop for one","The idea has occurred, but no real steps have been taken to shop for one","The idea has occurred, but no real steps have been taken to shop for one","The idea has occurred, but no real steps have been taken to shop for one",Yes,Compact,Compact,0,0,0,0,4.125,0,0,0,0,,0,0,0,-2.84,0,0,0,-2.84,2.82,2.9,-1,1.42,0,0,0,2.82,2.9,-1,1.42,0,0,0,4.125,4.125,4.125,4.125,4.125,4.125,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.344503327,-1.376401944,0.177343001,0.827220085,-0.013631452,0.113671955,1.48185901,-0.967569446,0,0,0,-0.691377803,0.721233928,-0.724052994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.098193798,1.098193798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1683,EV,,,,EV,College Graduate,College Graduate,Male,Male,Male,"$100,000 to 149,999","$100,000 to 149,999",24000,0,30,30,0,1500,Month,1500,1500,180,Month,180,180,"Each driver has their usual car, but less than once a week someone in the household will drive a different car",Yes,Garage (attached to your home or freestanding),Driveway (Not Covered),Yes,Yes,Yes,No,No,No,220V,My household could make such an installation on its own authority.,"Yes, we do have natural gas","Yes, both electricity and hydrogen",Yes,Yes,No. I haven't seen any.,No,Interested,"Started to gather some information, but haven not really gotten serious yet",Gathered info to shopped to own,"The idea has occurred, but no real steps have been taken to shop for one","The idea has occurred, but no real steps have been taken to shop for one",No,Midsize,Midsize,2.85,2.9,2.9,2.87,-0.98,2.85,2.9,2.9,2.87,-0.98,-2.95,-2.97,-2.95,-2.96,-2.95,-2.97,-2.95,-2.96,2.87,0,0,0,2.89,-1.03,0,2.87,0,0,0,2.89,-1.03,0,-2.39,-0.58,0,0.49,0,0.8,-2.39,-0.58,0,0.49,0,0.8,-0.67,-0.67,-2.5,-2.5,1.56,1.56,1.31,1.31,2.91,2.91,2.26,2.26,1.68,1.68,-2.57,-2.57,4.125,,0.631474831,0.665813336,-0.343935226,-0.647673182,-0.414261885,-0.650514853,0.514449793,0.713952795,-0.18790329,-0.189999181,-0.288175712,0.451366658,-0.635438914,-0.536091576,5,1,4,5,1,1,1,2,1,1,1,1,1,2,2,1,5,1,4,5,1,1,1,2,1,1,1,1,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1698,HEV,,,,HEV,"Masters, Doctorate, or Professional Degree","Masters, Doctorate, or Professional Degree",Male,Male,Male,"$50,000 to 74,999","$50,000 to 74,999",,1,,,1,10,Week,40,40,70,Month,70,70,"I'm the only driver, so this question doesn't really apply to me",No,Garage (attached to your home or freestanding),,Yes,Yes,No,No,No,No,110V,My household could make such an installation on its own authority.,"Yes, we do have natural gas","Yes, but only electricity",Yes,No,No. I haven't seen any.,No,Very interested,"The idea has occurred, but no real steps have been taken to shop for one","The idea has occurred, but no real steps have been taken to shop for one",I (we) have not considered buying a vehicle that runs on hydrogen but maybe some day we will,I (we) have not considered buying a vehicle that runs on hydrogen but maybe some day we will,Yes,Midsize,Midsize,2.91,2.79,2.97,0,4.125,2.91,2.79,2.97,0,,-3,-3,-3,-3,-3,-3,-3,-3,2.9,4.125,4.125,4.125,-3,-3,0,2.9,,,,-3,-3,0,4.125,4.125,4.125,4.125,4.125,4.125,,,,,,,-3,-3,-3,-3,0,0,4.125,,2.78,2.78,2.8,2.8,2.87,2.87,0,0,2.85,2.85,-0.155267432,0.865506576,-0.369833827,-0.658581338,-1.30980617,-0.462991053,0.406315086,-1.837171553,0,0,0,0.748684332,-0.844172756,0.721647663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,
1715,PHEV,,,,PHEV,"Masters, Doctorate, or Professional Degree","Masters, Doctorate, or Professional Degree",Female,Female,Female,"$50,000 to 74,999","$50,000 to 74,999",,1,,,1,20,Week,80,80,20,Month,20,20,"I'm the only driver, so this question doesn't really apply to me",No,Parking Lot - Assigned Space,,No,No,No,No,Yes,No,No,My household would need permission from some other person or group.,"Yes, we do have natural gas","Yes, both electricity and hydrogen",Yes,Yes,No. I haven't seen any.,No,Interested,I (we) have not considered buying a vehicle that runs on electricity but maybe some day we will,I (we) have not considered buying a vehicle that runs on electricity but maybe some day we will,I (we) have not considered buying a vehicle that runs on hydrogen but maybe some day we will,I (we) have not considered buying a vehicle that runs on hydrogen but maybe some day we will,Yes,Compact,Compact,2.97,0.92,0.95,0.97,-2.41,2.97,0.92,0.95,0.97,-2.41,-2.94,-2.84,-2.85,-2.87,-2.94,-2.84,-2.85,-2.87,-2.56,-2.68,2.48,0.72,1.88,4.125,0.27,-2.56,-2.68,2.48,0.72,1.88,,0.27,-2.26,4.125,4.125,4.125,-0.85,4.125,-2.26,,,,-0.85,,-2.59,-2.59,4.125,,1.95,1.95,-2.59,-2.59,0.99,0.99,0,0,2.51,2.51,2.08,2.08,0.15,0.15,-0.416131568,0.344870732,-0.306477642,-0.609699568,0.083629464,-0.09386616,-1.181143006,0.167640473,-0.624598807,-0.294858554,-0.303825184,-0.020047637,-0.610683498,-1.002654146,0,0,0,0,0,0,0,0,0,5,0,5,5,5,0,5,0,0,0,0,0,0,0,0,0,5.445805579,0,5.445805579,5.445805579,5.445805579,0,5.445805579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.490968988
1730,,,,HEV,HEV,Some College,Some College,Male,Male,Male,"$100,000 to 149,999","$100,000 to 149,999",33000,0,17,17,0,250,Month,250,250,50,Month,50,50,"Each driver has their usual car, but less than once a week someone in the household will drive a different car",No,Driveway (Not Covered),Driveway (Not Covered),No,Yes,No,No,No,No,110V,My household could make such an installation on its own authority.,"Yes, we do have natural gas","No, neither one",No,No,Yes. I've seen them at one place.,Yes,A little interested,"The idea has occurred, but no real steps have been taken to shop for one","The idea has occurred, but no real steps have been taken to shop for one",I (we) have not considered buying a vehicle that runs on hydrogen but maybe some day we will,I (we) have not considered buying a vehicle that runs on hydrogen but maybe some day we will,I'm Not Sure,Midsize,Midsize,2.97,2.96,2.87,2.91,4.125,2.97,2.96,2.87,2.91,,-3,-2.93,-2.9,-2.94,-3,-2.93,-2.9,-2.94,0,2.86,0,0,4.125,4.125,2.93,0,2.86,0,0,,,2.93,4.125,4.125,4.125,4.125,4.125,4.125,,,,,,,4.125,,4.125,,-3,-3,2.96,2.96,0,0,-2.93,-2.93,-2.92,-2.92,-2.96,-2.96,,,0.798990168,0.432471727,-0.337921176,-0.63585742,1.261283947,-0.759466508,0.979201377,-0.366558244,0,0,0,-2.375780969,0.104008355,-0.953807839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,0,0,0,0,0,0,0,0,5,0,0,5,0,5,5,0,30,5,5,0,0,0,0,0,0,0,0,5,0,0,5,0,5,5,
1738,,,,FCV,FCV,"Masters, Doctorate, or Professional Degree","Masters, Doctorate, or Professional Degree",Male,Male,Male,"$75,000 to 99,999","$75,000 to 99,999",,0,,,1,4856,Month,4856,4856,236,Month,236,236,Every day we decide who will drive the car or who will drive which car,No,Driveway (Not Covered),,No,Yes,No,No,No,No,110V,My household could make such an installation on its own authority.,"Yes, we do have natural gas","Yes, but only electricity",No,No,Yes. I've seen them at a few places.,Yes,Very interested,I (we) have not and would not consider buying a vehicle that runs on electricity,I (we) have not and would not consider buying a vehicle that runs on electricity,"Started to gather some information, but haven nott really gotten serious yet",Gathered info to shopped to own,I'm Not Sure,Midsize,Midsize,2.95,4.125,4.125,4.125,5.7,2.95,,,,,4.125,2.68,4.125,2.04,,2.68,,2.04,2.7,4.125,2.56,2.43,4.125,5.7,2.52,2.7,,2.56,2.43,,,2.52,2.41,5.7,2.34,4.125,5.7,4.125,2.41,,2.34,,,,2.11,2.11,1.7,1.7,4.125,,2.91,2.91,5.7,,5.7,,5.7,,2.89,2.89,4.125,,0.028796535,0.30912876,2.305221016,1.143128843,0.740340481,0.720848089,0.428491915,0.43234363,0.457025328,1.08793596,1.09760548,0.404951945,1.802331563,0.355063949,5,4,5,5,3,5,0,0,0,2,0,0,0,1,0,0,5,4,5,5,3,5,0,0,0,2,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1746,HEV,,,,HEV,Some College,Some College,Male,Male,Male,"$50,000 to 74,999","$50,000 to 74,999",35000,0,25,25,0,40,Week,160,160,50,Week,200,200,Every day we decide who will drive the car or who will drive which car,No,Garage (attached to your home or freestanding),,Yes,No,Yes,No,No,No,220V,My household could make such an installation on its own authority.,"Yes, we do have natural gas","Yes, but only electricity",No,No,Yes. I've seen them at several places.,Yes,Very interested,I (we) have not and would not consider buying a vehicle that runs on electricity,I (we) have not and would not consider buying a vehicle that runs on electricity,I (we) have not and would not consider buying a vehicle that runs on hydrogen,I (we) have not and would not consider buying a vehicle that runs on hydrogen,Yes,Compact,Compact,0,-0.54,0,0.16,-0.22,0,-0.54,0,0.16,-0.22,-0.36,0,0,0,-0.36,0,0,0,1.43,2.29,1.89,2.34,2.28,2.07,1.73,1.43,2.29,1.89,2.34,2.28,2.07,1.73,2.78,2.65,2.81,1.95,2.31,1.8,2.78,2.65,2.81,1.95,2.31,1.8,-0.49,-0.49,-0.74,-0.74,2.5,2.5,2.5,2.5,2.75,2.75,2.26,2.26,2.58,2.58,-2.01,-2.01,1.74,1.74,-0.385021603,-1.422120947,1.233489226,0.265773256,1.134809723,0.557131998,1.087235831,0.053924307,0.534596562,1.333746988,1.203586554,0.584397116,0.402712625,0.012285463,5,0,5,5,5,0,0,0,0,5,5,0,0,0,0,0,5,0,5,5,5,0,0,0,0,5,5,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1756,HEV,,,,HEV,College Graduate,College Graduate,Male,Male,Male,"$200,000 to $249,999","$200,000 to 249,999",,0,,,,,,,,,,,,"I'm the only driver, so this question doesn't really apply to me",Yes,Garage (attached to your home or freestanding),,Yes,Yes,Yes,Yes,No,No,EVSE,My household could make such an installation on its own authority.,"Yes, we do have natural gas","Yes, both electricity and hydrogen",Yes,Yes,Yes. I've seen them at several places.,Yes,Very interested,"Shopped for an electric vehicle, including a visit to at least one dealership to test drive",Gathered info to shopped to own,"Started to gather some information, but haven nott really gotten serious yet",Gathered info to shopped to own,Yes,Compact,Compact,2.87,2.88,2.92,2.92,2.91,2.87,2.88,2.92,2.92,2.91,2.9,0,2.87,2.84,2.9,0,2.87,2.84,2.97,2.9,0,2.97,0.25,0,5.7,2.97,2.9,0,2.97,0.25,0,,2.85,0,2.87,2.89,2.91,2.8,2.85,0,2.87,2.89,2.91,2.8,-2.91,-2.91,0,0,2.94,2.94,2.89,2.89,2.87,2.87,0,0,2.8,2.8,2.89,2.89,2.83,2.83,1.015518841,0.046235733,3.177319691,0.230117307,-0.069074856,1.008689749,1.546781245,-0.863813528,1.190882394,0.728684274,0.814245765,-0.020189109,0.848569995,1.168900942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,15,0,1,2,3,4,5,0,0,0,0,0,0,0,0,0,0,0,
1770,FCV,,,,FCV,"Masters, Doctorate, or Professional Degree","Masters, Doctorate, or Professional Degree",Male,Male,Male,"$50,000 to 74,999","$50,000 to 74,999",28500,0,34,34,0,650,Month,650,650,70,Month,70,70,Every day we decide who will drive the car or who will drive which car,No,Garage (attached to your home or freestanding),,Yes,Yes,No,No,No,No,110V,My household could make such an installation on its own authority.,"Yes, we do have natural gas","Yes, but only hydrogen",No,Yes,I'm not sure whether I've seen any or not.,No,Interested,"The idea has occurred, but no real steps have been taken to shop for one","The idea has occurred, but no real steps have been taken to shop for one","The idea has occurred, but no real steps have been taken to shop for one","The idea has occurred, but no real steps have been taken to shop for one",Yes,Compact,Compact,2.91,2.9,2.88,1.29,-1.63,2.91,2.9,2.88,1.29,-1.63,-1.86,0,-2.97,-2.95,-1.86,0,-2.97,-2.95,2.9,-2.9,2.88,2.99,2.92,-1.74,2.89,2.9,-2.9,2.88,2.99,2.92,-1.74,2.89,-2.9,-2.88,-2.54,2.88,0,0,-2.9,-2.88,-2.54,2.88,0,0,-1.73,-1.73,-1.62,-1.62,1.54,1.54,-2.95,-2.95,0,0,0,0,-1.56,-1.56,1.41,1.41,0.85,0.85,0.127462835,0.898158421,-0.576599489,0.42229723,-0.695416459,1.226282441,-0.505000419,1.068020134,-0.019769034,-1.571103093,-0.509234352,-1.078846705,-0.186198238,0.06185859,1,0,4,5,0,0,0,0,0,0,5,5,0,0,5,5,1,0,4,5,0,0,0,0,0,0,5,5,0,0,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
1777,,,FCV,,FCV,College Graduate,College Graduate,Male,Male,Male,"$100,000 to 149,999","$100,000 to 149,999",35000,0,18,18,0,500,Month,500,500,75,Month,75,75,"Each driver has their usual car, but at least once a week someone in the household will drive a different car",No,Garage (attached to your home or freestanding),Garage (attached to your home or freestanding),Yes,Yes,No,No,No,No,110V,My household could make such an installation on its own authority.,"Yes, we do have natural gas","No, neither one",Yes,Yes,Yes. I've seen them at one place.,Yes,Very interested,I (we) have not considered buying a vehicle that runs on electricity but maybe some day we will,I (we) have not considered buying a vehicle that runs on electricity but maybe some day we will,I (we) have not considered buying a vehicle that runs on hydrogen but maybe some day we will,I (we) have not considered buying a vehicle that runs on hydrogen but maybe some day we will,I'm Not Sure,Large,Large,2.9,2.87,2.85,2.89,0,2.9,2.87,2.85,2.89,0,-3,-2.92,-3,-3,-3,-2.92,-3,-3,0,-3,0,0,2.88,-3,0,0,-3,0,0,2.88,-3,0,-3,-3,-3,2.77,0,4.125,-3,-3,-3,2.77,0,,-3,-3,-3,-3,0,0,0,0,2.92,2.92,2.94,2.94,0,0,2.87,2.87,0,0,0.719339269,0.507961068,-0.379336736,-0.631495172,-1.301175771,-0.512897296,-0.860079653,0.868056739,0.049102176,-1.785893041,-0.481398751,0.875623846,-0.947472868,-1.558267861,0,0,0,2,0,0,0,0,0,0,1,5,1,3,5,3,0,0,0,2,0,0,0,0,0,0,1,5,1,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
1781,FCV,,,,FCV,College Graduate,College Graduate,Male,Male,Male,"$150,000 to $199,999","$150,000 to 199,999",26000,0,26,26,0,130,Week,520,520,25,Week,100,100,Every day we decide who will drive the car or who will drive which car,No,"Carport (Covered, but not fully enclosed)",Parking Lot,Yes,Yes,No,No,No,No,110V,My household would need permission from some other person or group.,"Yes, we do have natural gas","Yes, both electricity and hydrogen",Yes,No,Yes. I've seen them at several places.,Yes,A little interested,"The idea has occurred, but no real steps have been taken to shop for one","The idea has occurred, but no real steps have been taken to shop for one",I (we) have not considered buying a vehicle that runs on hydrogen but maybe some day we will,I (we) have not considered buying a vehicle that runs on hydrogen but maybe some day we will,Yes,Midsize,Midsize,2.98,2.94,2.91,2.92,5.7,2.98,2.94,2.91,2.92,,-2.9,0,0,-2.78,-2.9,0,0,-2.78,2.93,2.99,4.125,0,2.91,0,0,2.93,2.99,,0,2.91,0,0,4.125,4.125,4.125,4.125,4.125,4.125,,,,,,,-2.95,-2.95,4.125,,-2.83,-2.83,0,0,0,0,2.39,2.39,0,0,0,0,2.82,2.82,0.80003237,0.444664677,-0.117947897,0.633919121,0.086062896,-0.720028664,1.576490931,0.475977307,0,0,0,-0.300456541,-0.585526317,1.204333003,2,1,1,4,2,1,1,1,1,1,1,2,3,2,3,4,2,1,1,4,2,1,1,1,1,1,1,2,3,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1793,PHEV,,,,PHEV,"Masters, Doctorate, or Professional Degree","Masters, Doctorate, or Professional Degree",Female,Female,Female,"$250,000 or more","$250,000 or more",25000,0,50,50,0,200,Week,800,800,35,Week,140,140,"I'm the only driver, so this question doesn't really apply to me",Yes,Garage (attached to your home or freestanding),Garage (attached to your home or freestanding),Yes,Yes,No,No,No,No,110V,My household could make such an installation on its own authority.,"Yes, we do have natural gas","Yes, both electricity and hydrogen",Yes,No,Yes. I've seen them at several places.,Yes,A little interested,"The idea has occurred, but no real steps have been taken to shop for one","The idea has occurred, but no real steps have been taken to shop for one",I (we) have not considered buying a vehicle that runs on hydrogen but maybe some day we will,I (we) have not considered buying a vehicle that runs on hydrogen but maybe some day we will,I'm Not Sure,Compact,Compact,2.73,0,2.73,0,-3,2.73,0,2.73,0,-3,-3,2.72,-3,-3,-3,2.72,-3,-3,-0.67,-2.84,-2.42,0,0.97,-2.27,0,-0.67,-2.84,-2.42,0,0.97,-2.27,0,4.125,4.125,4.125,4.125,4.125,4.125,,,,,,,-1.58,-1.58,-1.6,-1.6,1.94,1.94,-2.9,-2.9,1.83,1.83,1.79,1.79,1.91,1.91,2.64,2.64,2.39,2.39,-0.735660629,0.805950213,-1.049291825,1.278079505,-0.952356919,-0.631229504,-0.950681608,-0.186108648,0,0,0,0.343208854,-0.072633693,0.600900946,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5.445805579,0,0,5.445805579,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1814,,,,HEV,HEV,Some College,Some College,Female,Female,Female,"$50,000 to 74,999","$50,000 to 74,999",35000,0,18,18,0,300,Month,300,300,75,Month,75,75,"Each driver has their usual car, but at least once a week someone in the household will drive a different car",No,Garage (attached to your home or freestanding),Garage (attached to your home or freestanding),Yes,Yes,Yes,No,No,No,220V,My household could make such an installation on its own authority.,"Yes, we do have natural gas","Yes, both electricity and hydrogen",Yes,No,No. I haven't seen any.,No,Very interested,"The idea has occurred, but no real steps have been taken to shop for one","The idea has occurred, but no real steps have been taken to shop for one",I (we) have not considered buying a vehicle that runs on hydrogen but maybe some day we will,I (we) have not considered buying a vehicle that runs on hydrogen but maybe some day we will,Yes,Large,Large,2.81,2.36,2,0.51,-0.29,2.81,2.36,2,0.51,-0.29,-2.92,-1.76,-2.89,-2.94,-2.92,-1.76,-2.89,-2.94,2.53,-2.86,1.04,2.84,0.31,-1.28,-2.01,2.53,-2.86,1.04,2.84,0.31,-1.28,-2.01,-2.74,4.125,4.125,4.125,4.125,4.125,-2.74,,,,,,-2.11,-2.11,-2.52,-2.52,0.46,0.46,-0.95,-0.95,0.9,0.9,-0.9,-0.9,2.81,2.81,4.125,,0.18,0.18,-0.071033129,0.409240965,-0.466408737,-0.233663064,-0.873078549,1.10044718,-0.505794528,-0.512332453,-0.114420067,-0.261639877,-0.525427813,-0.431675526,-0.706522175,-0.792892961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,5,0,0,5,0,5,0,5,5,0,0,5,0,0,32.94581393,0,0,0,0,5.490968988,0,0,5.490968988,0,5.490968988,0,5.490968988,5.490968988,0,0,5.490968988,0,
1825,Gas,,,,Gas,Some Graduate School,Some Graduate School,Female,Female,Female,"$75,000 to 99,999","$75,000 to 99,999",25000,0,1561,,0,1000,Month,1000,1000,250,Month,250,250,"I'm the only driver, so this question doesn't really apply to me",Yes,On the Street,"Carport (Covered, but not fully enclosed)",Yes,Yes,No,No,No,No,110V,My household could make such an installation on its own authority.,"No, we don't have natural gas","Yes, but only electricity",No,No,No. I haven't seen any.,No,Very interested,I (we) have not considered buying a vehicle that runs on electricity but maybe some day we will,I (we) have not considered buying a vehicle that runs on electricity but maybe some day we will,I (we) have not and would not consider buying a vehicle that runs on hydrogen,I (we) have not and would not consider buying a vehicle that runs on hydrogen,No,Large,Large,-1.26,0.48,1.93,1.42,0.23,-1.26,0.48,1.93,1.42,0.23,0,0.33,-0.6,1.57,0,0.33,-0.6,1.57,-0.25,-1,-1.04,-0.49,-0.26,-0.26,-0.24,-0.25,-1,-1.04,-0.49,-0.26,-0.26,-0.24,-0.78,-1.36,-0.27,-0.58,0,-0.76,-0.78,-1.36,-0.27,-0.58,0,-0.76,0.81,0.81,0.88,0.88,1.94,1.94,1.22,1.22,0.81,0.81,0.64,0.64,-1.28,-1.28,0.16,0.16,0,0,0.375811314,-1.411500707,1.737051016,0.039745401,0.071415317,-0.884738463,-0.38080979,-0.881971014,-0.70296555,-0.405070732,0.561753661,-0.571719697,1.228713733,-0.748909339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,5,1,3,0,0,5,1,1,0,1,1,0,0,0,0,0,26.35665114,1.098193798,5.490968988,5.490968988,1.098193798,3.294581393,0,0,5.490968988,1.098193798,1.098193798,0,1.098193798,1.098193798,0,0,0,0,
1828,Gas,,,,Gas,College Graduate,College Graduate,Female,Female,Female,"$75,000 to 99,999","$75,000 to 99,999",23799,0,16,16,0,54,Week,216,216,2100,Week,8400,,"I'm the only driver, so this question doesn't really apply to me",Yes,Garage (attached to your home or freestanding),Garage (attached to your home or freestanding),Yes,Yes,No,No,No,No,110V,My household could make such an installation on its own authority.,"Yes, we do have natural gas","Yes, both electricity and hydrogen",Yes,No,No. I haven't seen any.,No,Interested,"The idea has occurred, but no real steps have been taken to shop for one","The idea has occurred, but no real steps have been taken to shop for one","The idea has occurred, but no real steps have been taken to shop for one","The idea has occurred, but no real steps have been taken to shop for one",I'm Not Sure,Large,Large,2.91,2.9,2.96,2.83,4.125,2.91,2.9,2.96,2.83,,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2.63,2.79,-0.17,0.68,-3,-3,-3,2.63,2.79,-0.17,0.68,-3,-3,0.43,-0.77,-0.72,2.03,-3,-3,0.43,-0.77,-0.72,2.03,-2.87,-2.87,-3,-3,-3,-3,-0.63,-0.63,-1.18,-1.18,1.28,1.28,1.96,1.96,2.87,2.87,2.77,2.77,0.776875396,0.440020901,-0.369833827,-0.658581338,-0.04781063,0.517145195,-1.156346962,0.224906728,-0.020118878,-0.511423041,-0.795091486,-0.293643048,-0.879556056,1.144312919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,0,0,5,0,5,0,5,0,0,0,0,0,0,5,0,0,32.94581393,5.490968988,5.490968988,0,0,5.490968988,0,5.490968988,0,5.490968988,0,0,0,0,0,0,5.490968988,0,
